"","duration"
"1",2
"2",3
"3",3
"4",3
"5",3
"6",3
"7",3
"8",3
"9",3
"10",3
"11",3
"12",3
"13",3
"14",3
"15",3
"16",4
"17",4
"18",4
"19",4
"20",4
"21",4
"22",4
"23",4
"24",4
"25",4
"26",4
"27",4
"28",4
"29",4
"30",4
"31",4
"32",4
"33",4
"34",4
"35",4
"36",4
"37",4
"38",4
"39",4
"40",4
"41",4
"42",4
"43",4
"44",4
"45",4
"46",4
"47",5
"48",5
"49",5
"50",5
"51",5
"52",5
"53",5
"54",5
"55",5
"56",5
"57",5
"58",5
"59",5
"60",5
"61",5
"62",5
"63",5
"64",5
"65",5
"66",5
"67",5
"68",5
"69",5
"70",5
"71",5
"72",5
"73",5
"74",5
"75",5
"76",5
"77",5
"78",5
"79",5
"80",5
"81",6
"82",6
"83",6
"84",6
"85",6
"86",6
"87",6
"88",6
"89",6
"90",6
"91",6
"92",6
"93",6
"94",6
"95",6
"96",6
"97",6
"98",6
"99",6
"100",6
"101",6
"102",6
"103",6
"104",6
"105",6
"106",6
"107",6
"108",6
"109",6
"110",6
"111",6
"112",6
"113",6
"114",6
"115",6
"116",6
"117",6
"118",6
"119",6
"120",6
"121",6
"122",6
"123",6
"124",6
"125",6
"126",6
"127",6
"128",6
"129",6
"130",6
"131",6
"132",6
"133",6
"134",6
"135",6
"136",6
"137",6
"138",6
"139",6
"140",6
"141",7
"142",7
"143",7
"144",7
"145",7
"146",7
"147",7
"148",7
"149",7
"150",7
"151",7
"152",7
"153",7
"154",7
"155",7
"156",7
"157",7
"158",7
"159",7
"160",7
"161",7
"162",7
"163",7
"164",7
"165",7
"166",7
"167",7
"168",7
"169",7
"170",7
"171",7
"172",7
"173",7
"174",7
"175",7
"176",7
"177",7
"178",7
"179",7
"180",7
"181",7
"182",7
"183",7
"184",7
"185",7
"186",7
"187",7
"188",7
"189",7
"190",7
"191",7
"192",7
"193",7
"194",7
"195",7
"196",7
"197",7
"198",7
"199",7
"200",7
"201",7
"202",7
"203",7
"204",7
"205",7
"206",7
"207",7
"208",7
"209",7
"210",7
"211",7
"212",7
"213",7
"214",7
"215",7
"216",7
"217",7
"218",7
"219",7
"220",7
"221",7
"222",7
"223",7
"224",7
"225",7
"226",7
"227",7
"228",7
"229",7
"230",7
"231",7
"232",7
"233",7
"234",7
"235",7
"236",7
"237",8
"238",8
"239",8
"240",8
"241",8
"242",8
"243",8
"244",8
"245",8
"246",8
"247",8
"248",8
"249",8
"250",8
"251",8
"252",8
"253",8
"254",8
"255",8
"256",8
"257",8
"258",8
"259",8
"260",8
"261",8
"262",8
"263",8
"264",8
"265",8
"266",8
"267",8
"268",8
"269",8
"270",8
"271",8
"272",8
"273",8
"274",8
"275",8
"276",8
"277",8
"278",8
"279",8
"280",8
"281",8
"282",8
"283",8
"284",8
"285",8
"286",8
"287",8
"288",8
"289",8
"290",8
"291",8
"292",8
"293",8
"294",8
"295",8
"296",8
"297",8
"298",8
"299",8
"300",8
"301",8
"302",8
"303",8
"304",8
"305",8
"306",8
"307",8
"308",8
"309",8
"310",8
"311",8
"312",8
"313",8
"314",8
"315",8
"316",8
"317",8
"318",8
"319",8
"320",8
"321",8
"322",8
"323",8
"324",8
"325",8
"326",8
"327",8
"328",8
"329",8
"330",8
"331",8
"332",8
"333",8
"334",8
"335",8
"336",8
"337",8
"338",8
"339",8
"340",8
"341",8
"342",8
"343",8
"344",8
"345",8
"346",8
"347",8
"348",8
"349",8
"350",8
"351",8
"352",8
"353",8
"354",8
"355",8
"356",8
"357",8
"358",8
"359",8
"360",8
"361",8
"362",8
"363",8
"364",8
"365",8
"366",8
"367",8
"368",8
"369",8
"370",8
"371",8
"372",9
"373",9
"374",9
"375",9
"376",9
"377",9
"378",9
"379",9
"380",9
"381",9
"382",9
"383",9
"384",9
"385",9
"386",9
"387",9
"388",9
"389",9
"390",9
"391",9
"392",9
"393",9
"394",9
"395",9
"396",9
"397",9
"398",9
"399",9
"400",9
"401",9
"402",9
"403",9
"404",9
"405",9
"406",9
"407",9
"408",9
"409",9
"410",9
"411",9
"412",9
"413",9
"414",9
"415",9
"416",9
"417",9
"418",9
"419",9
"420",9
"421",9
"422",9
"423",9
"424",9
"425",9
"426",9
"427",9
"428",9
"429",9
"430",9
"431",9
"432",9
"433",9
"434",9
"435",9
"436",9
"437",9
"438",9
"439",9
"440",9
"441",9
"442",9
"443",9
"444",9
"445",9
"446",9
"447",9
"448",9
"449",9
"450",9
"451",9
"452",9
"453",9
"454",9
"455",9
"456",9
"457",9
"458",9
"459",9
"460",9
"461",9
"462",9
"463",9
"464",9
"465",9
"466",9
"467",9
"468",9
"469",9
"470",9
"471",9
"472",9
"473",9
"474",9
"475",9
"476",9
"477",9
"478",9
"479",9
"480",9
"481",9
"482",9
"483",9
"484",9
"485",9
"486",9
"487",9
"488",9
"489",9
"490",9
"491",9
"492",9
"493",9
"494",9
"495",9
"496",9
"497",9
"498",9
"499",9
"500",9
"501",9
"502",9
"503",9
"504",9
"505",9
"506",9
"507",9
"508",9
"509",9
"510",9
"511",9
"512",9
"513",9
"514",9
"515",9
"516",9
"517",9
"518",9
"519",9
"520",9
"521",9
"522",9
"523",9
"524",9
"525",9
"526",9
"527",9
"528",9
"529",9
"530",9
"531",9
"532",9
"533",9
"534",9
"535",9
"536",9
"537",9
"538",9
"539",9
"540",9
"541",9
"542",9
"543",9
"544",9
"545",9
"546",9
"547",9
"548",10
"549",10
"550",10
"551",10
"552",10
"553",10
"554",10
"555",10
"556",10
"557",10
"558",10
"559",10
"560",10
"561",10
"562",10
"563",10
"564",10
"565",10
"566",10
"567",10
"568",10
"569",10
"570",10
"571",10
"572",10
"573",10
"574",10
"575",10
"576",10
"577",10
"578",10
"579",10
"580",10
"581",10
"582",10
"583",10
"584",10
"585",10
"586",10
"587",10
"588",10
"589",10
"590",10
"591",10
"592",10
"593",10
"594",10
"595",10
"596",10
"597",10
"598",10
"599",10
"600",10
"601",10
"602",10
"603",10
"604",10
"605",10
"606",10
"607",10
"608",10
"609",10
"610",10
"611",10
"612",10
"613",10
"614",10
"615",10
"616",10
"617",10
"618",10
"619",10
"620",10
"621",10
"622",10
"623",10
"624",10
"625",10
"626",10
"627",10
"628",10
"629",10
"630",10
"631",10
"632",10
"633",10
"634",10
"635",10
"636",10
"637",10
"638",10
"639",10
"640",10
"641",10
"642",10
"643",10
"644",10
"645",10
"646",10
"647",10
"648",10
"649",10
"650",10
"651",10
"652",10
"653",10
"654",10
"655",10
"656",10
"657",10
"658",10
"659",10
"660",10
"661",10
"662",10
"663",10
"664",10
"665",10
"666",10
"667",10
"668",10
"669",10
"670",10
"671",10
"672",10
"673",10
"674",10
"675",10
"676",10
"677",10
"678",10
"679",10
"680",10
"681",10
"682",10
"683",10
"684",10
"685",10
"686",10
"687",10
"688",10
"689",10
"690",10
"691",10
"692",10
"693",10
"694",10
"695",10
"696",10
"697",10
"698",10
"699",10
"700",10
"701",10
"702",10
"703",10
"704",10
"705",10
"706",10
"707",10
"708",10
"709",10
"710",10
"711",10
"712",10
"713",10
"714",10
"715",10
"716",10
"717",10
"718",10
"719",10
"720",10
"721",10
"722",10
"723",10
"724",10
"725",10
"726",10
"727",10
"728",10
"729",10
"730",10
"731",10
"732",10
"733",10
"734",10
"735",10
"736",10
"737",10
"738",10
"739",10
"740",11
"741",11
"742",11
"743",11
"744",11
"745",11
"746",11
"747",11
"748",11
"749",11
"750",11
"751",11
"752",11
"753",11
"754",11
"755",11
"756",11
"757",11
"758",11
