"","time_trigger","train_accuracy","train_PIG","test_accuracy","test_PIG","train_e","train_f","train_g","train_h","test_e","test_f","test_g","test_h"
"1",1,0.61634460547504,0.0389384111472493,0.625453080950463,0.0449863077955487,710,486,467,821,702,463,467,851
"2",2,0.614331723027375,0.037387070102942,0.619412001610954,0.0408447244573189,692,504,454,834,701,464,481,837
"3",3,0.638486312399356,0.0555545770407972,0.626258558195731,0.0456995908758237,739,457,441,847,707,458,470,848
"4",4,0.641304347826087,0.0576596198350853,0.632702376157874,0.0502720022987428,726,470,421,867,704,461,451,867
"5",5,0.644927536231884,0.060632351661711,0.645590012082159,0.0608636853446623,720,476,406,882,721,444,436,882
"6",6,0.654589371980676,0.0693366240392001,0.64679822795006,0.0612524365711082,744,452,406,882,698,467,410,908
"7",7,0.653381642512077,0.0681832409652891,0.65807490938381,0.071517905769013,738,458,403,885,716,449,400,918
"8",8,0.664251207729469,0.0784037649420291,0.666532420459122,0.0794181882413799,738,458,376,912,714,451,377,941
"9",9,0.672302737520129,0.0866486820968746,0.667740636327024,0.0806146655459785,766,430,384,904,715,450,375,943
"10",10,0.679951690821256,0.0947648467798181,0.673781715666532,0.0870751425985287,776,420,375,913,736,429,381,937
"11",11,0.681159420289855,0.0961201909424316,0.677809101892872,0.0912513443147079,781,415,377,911,738,427,373,945
"12",12,0.676328502415459,0.0908593783450421,0.681836488119211,0.0958367324361845,770,426,378,910,752,413,377,941
"13",13,0.690821256038647,0.106898737550524,0.691904953685058,0.106965891776134,779,417,351,937,755,410,355,963
"14",14,0.682769726247987,0.0978562075661047,0.693918646798228,0.109269857327803,780,416,372,916,755,410,350,968
"15",15,0.696054750402576,0.113063557904432,0.701167942005638,0.117815650416442,785,411,344,944,753,412,330,988
"16",16,0.683977455716586,0.099123737634823,0.69311316955296,0.108229965258278,772,424,361,927,749,416,346,972
"17",17,0.692028985507246,0.108509357376612,0.693918646798228,0.109403491489758,802,394,371,917,761,404,356,962
"18",18,0.694847020933977,0.111719329685865,0.693515908175594,0.108917943697238,798,398,360,928,760,405,356,962
"19",19,0.699275362318841,0.117126025401422,0.691502215062424,0.106765193667307,810,386,361,927,765,400,366,952
"20",20,0.700885668276973,0.119180746078158,0.701167942005638,0.118302229386958,817,379,364,924,777,388,354,964
"21",21,0.703301127214171,0.121976423005781,0.70962545308095,0.128972719652861,807,389,348,940,789,376,345,973
"22",22,0.706924315619968,0.1265263036784,0.710028191703584,0.1291780096232,811,385,343,945,777,388,332,986
"23",23,0.710144927536232,0.13070524642685,0.711236407571486,0.130816090082323,820,376,344,944,782,383,334,984
"24",24,0.709742351046699,0.130120160216573,0.703181635118808,0.120664367485644,813,383,338,950,775,390,347,971
"25",25,0.712962962962963,0.134285316161498,0.703584373741442,0.121014112345023,812,384,329,959,769,396,340,978
"26",26,0.710144927536232,0.13074682058505,0.698348771647201,0.114773948463397,823,373,347,941,770,395,354,964
"27",27,0.715378421900161,0.137611448935829,0.708014498590415,0.126694619874942,830,366,341,947,779,386,339,979
"28",28,0.710950080515298,0.131747716153537,0.710430930326218,0.129750550381448,821,375,343,945,780,385,334,984
"29",29,0.709339774557166,0.129680441076209,0.712444623439388,0.132704163716511,820,376,346,942,795,370,344,974
"30",30,0.712157809983897,0.13329123845372,0.709222714458317,0.128411158262679,820,376,339,949,787,378,344,974
"31",31,0.714170692431562,0.136004304514456,0.707611759967781,0.126296816219052,828,368,342,946,783,382,344,974
"32",32,0.703703703703704,0.122638472826436,0.706000805477245,0.124372410851739,819,377,359,929,785,380,350,968
"33",33,0.710144927536232,0.13070524642685,0.706806282722513,0.125221396650013,820,376,344,944,780,385,343,975
"34",34,0.702898550724638,0.121619057451588,0.704792589609344,0.122698568595,817,379,359,929,778,387,346,972
"35",35,0.7085346215781,0.128610045252838,0.714458316552557,0.135184563577742,816,380,344,944,792,373,336,982
"36",36,0.71658615136876,0.139150646300155,0.708014498590415,0.126626695136737,826,370,334,954,776,389,336,982
"37",37,0.714975845410628,0.137117994828843,0.708819975835683,0.128000739626511,832,364,344,944,790,375,348,970
"38",38,0.711755233494364,0.132807715455421,0.712444623439388,0.13247370862015,823,373,343,945,787,378,336,982
"39",39,0.7085346215781,0.128675788012994,0.712041884816754,0.13213154414743,821,375,349,939,793,372,343,975
"40",40,0.71256038647343,0.133859280569576,0.71365283930729,0.134044443740097,824,372,342,946,788,377,334,984
"41",41,0.713768115942029,0.135549013589362,0.705195328231977,0.123190426837164,832,364,347,941,778,387,345,973
"42",42,0.711755233494364,0.132921291903671,0.704792589609344,0.122839302854517,830,366,350,938,783,382,351,967
"43",43,0.714975845410628,0.137135832938452,0.707611759967781,0.126218323108623,833,363,345,943,780,385,341,977
"44",44,0.714975845410628,0.137154517482567,0.710833668948852,0.130487592313215,834,362,346,942,789,376,342,976
"45",45,0.710144927536232,0.130718303265239,0.708819975835683,0.127748051092701,821,375,345,943,781,384,339,979
"46",46,0.713365539452496,0.134890538328973,0.70962545308095,0.129066411904772,823,373,339,949,792,373,348,970
"47",47,0.714975845410628,0.137117994828843,0.710028191703584,0.12926468490018,832,364,344,944,781,384,336,982
"48",48,0.715378421900161,0.137545669187359,0.71163914619412,0.131449877368251,825,371,336,952,787,378,338,980
"49",49,0.710547504025765,0.131343275526216,0.708819975835683,0.127969520988227,828,368,351,937,789,376,347,971
"50",50,0.717793880837359,0.140909502704802,0.712041884816754,0.131961105141409,837,359,342,946,787,378,337,981
