"","FALSE","TRUE","MeanDecreaseAccuracy","MeanDecreaseGini"
"duration",-0.00285540380914371,0.0151500623426358,0.00649231871544682,103.584296712587
"count_mousemove",0.000879451754484265,0.00964001713639091,0.0054133200405611,93.4592745363189
"count_mouseclick",0.0135831237900973,0.0148522633644159,0.0142616024141548,103.379025360245
"key1",0.00919431411090131,0.0269527616107067,0.0183921127694423,123.909913798475
"key2",8.26701660796816e-06,4.19738365267333e-05,2.61953191358059e-05,1.28641390781144
"key3",0.00128942048821337,0.000747433993732429,0.00100402597694211,45.1102584261103
"key4",-2.63885702709888e-05,3.29094278342899e-05,4.26046382298575e-06,0.855184999620294
"key5",0.00072395126416197,0.000539863205305613,0.000629789664707337,5.1599338669839
"key6",0.00314423149565885,0.012282435027081,0.0078593141808435,66.1076612900649
"key7",0.00555649613475444,0.020261239493516,0.0131913847469113,111.559887608546
"key8",-0.00479600402478733,0.0918652223203373,0.0453232071519551,106.979594403439
"key9",0.00366973373099068,0.0284881767832013,0.01658200641274,75.5290208009909
"key10",-0.00112993202249899,0.104808010843551,0.0537806475164983,114.763829847378
"key11",0.00372786201012415,0.00623182795904486,0.00502880480774414,64.4858293917489
"key12",0.0072578655631968,0.0175180975477018,0.0125590859532061,71.1730785075472
"gender",-0.00046032140729169,0.000987947654339732,0.000287818412953552,5.40645171788613
"academic_degree",0.00597809864629909,0.0152818711633086,0.0107952721928279,32.4138513803828
"onboard_duration",0.00836580105112074,0.0178070468746527,0.0132598247705399,54.3393714223651
"age",0.00742019478963687,0.0161368149118317,0.0119307702689266,48.7986343243152
